,Rank,Name,Team,Cl,Position,G,Solo Tack,Asst Tack,TT,TPG
234,-,Thomas Barber,Minnesota,Jr.,LB,13,47,34,81,6.2
235,-,Jarius Morehead,NC State,Jr.,DB,13,45,36,81,6.2
236,-,Justin Clifton,Arkansas St.,Sr.,DB,13,41,40,81,6.2
237,238,C.J. Avery,Louisville,So.,DB,9,33,23,56,6.2
238,239,Ikem Okeke,Hawaii,Jr.,LB,14,60,27,87,6.2
239,-,Anthony Wheeler,Texas,Sr.,LB,14,56,31,87,6.2
240,-,Mike Bell,Fresno St.,Jr.,DB,14,53,34,87,6.2
241,-,Penei Pavihi,Hawaii,So.,LB,14,46,41,87,6.2
242,-,George Helmuth,Fresno St.,Sr.,LB,14,44,43,87,6.2
243,244,Mike Lee,Kansas,Jr.,DB,11,49,19,68,6.2
244,-,Fitz Wattley,Coastal Caro.,Sr.,DB,11,48,20,68,6.2
245,246,Javin White,UNLV,Jr.,DB,12,40,34,74,6.2
246,-,Michael Pinckney,Miami (FL),Jr.,LB,12,35,39,74,6.2
247,248,Ridwan Issahaku,TCU,Sr.,DB,13,56,24,80,6.2
248,249,Mykal Walker,Fresno St.,Sr.,LB,14,38,48,86,6.1
249,250,John Houston,Southern California,Jr.,LB,11,35,32,67,6.1
